Date,City,Cause of Death
3/25/2018,Luanda -  Luanda,Drowning
7/7/2016,Shoal Bay,Drowning
8/9/2016,Shoal Bay,Drowning
7/10/2017,At Sea,Drowning
7/21/2017,Shoal Bay West -  Shoal Bay,Drowning
10/22/2016,White Island Shear Zone -  Antarctica,Other Accident
12/12/2018,McMurdo -  Ross Island,Other Accident
12/12/2018,McMurdo -  Ross Island,Other Accident
4/19/2006,Codrington -  Barbuda,Other Accident
8/3/2016,Dickenson Bay -  St. John,Drowning
9/6/2016,Valley Church -  St. Mary,Drowning
9/18/2016,Dickenson Bay -  St. John,Drowning
12/19/2016,Five Islands -  St. John,Drowning
3/4/2003,Rio Chimehuin -  Junin De Los Andes -  Argentina,Drowning
3/9/2003,Gualeguaychu -  Entre Rios -  Argentina,Other Accident
6/3/2003,Vicente Lopez -  Buenos Aires -  Argentina,Homicide
8/27/2003,Buenos Aires -  Argentina,Veh. Accident-Auto
2/4/2004,Km 577 -  La Cautiva -  Rio 4 -  Prov. Cordoba -  Argentina,Other Accident
9/14/2004,Valle De Las Lenas -  Mendoza -  Argentina,Other Accident
7/23/2005,Ruta Prov. 16 -  Villa Tulumba -  Cordoba -  Argentina,Veh. Accident-Auto
10/17/2005,Cerro Mercedario -  San Juan -  Argentina,Other Accident
12/2/2005,Rosario -  Santa Fe -  Argentina,Train Accident
1/22/2006,At Sea -  Near Ushuaia -  Tierra Del Fuego -  Argentina,Other Accident
3/6/2006,Tunuyan -  Mendoza -  Argentina,Veh. Accident-Auto
4/23/2006,San Luis -  Argentina,Veh. Accident-Auto
1/9/2007,Route 7 Km 1101 -  Lujan De Cuyo - mendoza -  Argentina,Drowning - River
4/6/2007,Buenos Aires -  Argentina,Other Accident
10/10/2007,Provincial Route 6 -  Hernando -  Cordoba -  Argentina,Veh. Accid-Auto
10/12/2007,Buenos Aires -  Argentina,Other Accident
12/3/2007,Buenos Aires -  Argentina,Suicide
6/21/2008,Sanmartin And Catamarca -  Salta -  Argentina,Veh. Accident-Auto
7/16/2008,Rodriguez -  Argentina,Drowning
1/2/2009,Buenos Aires -  Argentina,Suicide
1/25/2009,Rio Grande -  Tierra Del Fuego -  Argentina,Veh. Accid-Auto
1/25/2009,Rio Grande -  Tierra Del Fuego -  Argentina,Veh. Accid-Auto
3/8/2009,San Carlos De Bariloche -  Rio Negro -  Argentina,Other Accident
3/8/2009,San Carlos De Bariloche -  Rio Negro -  Argentina,Other Accident
4/13/2009,Cordoba -  Argentina,Suicide
10/16/2009,Buenos Aires -  Argentina,Suicide
1/31/2010,Buenos Aires -  Argentina,Suicide
2/9/2010,Tupungato - Mendoza -  Argentina,Veh. Accid-Auto
7/9/2010,Cordoba -  Argentina,Drowning
12/27/2010,Buenos Aires -  Argentina,Drowning
3/21/2011,Puerto Iguazu -  Misiones -  Argentina,Drowning
3/21/2011,Puerto Iguazu -  Misiones -  Argentina,Drowning
2/18/2012,Salta -  Argentina,Suicide
8/18/2012,Rosario -  Santa Fe -  Argentina,Suicide
3/14/2013,CABA (Ciudad Autonoma de Buenos Aires) -  Argentina,Suicide
12/2/2013,Buenos Aires -  Argentina,Suicide
12/19/2013,Neuquen -  Argentina,Other Accident
2/7/2014,Mendoza,Other Accident
3/30/2014,Buenos Aires,Veh. Accid-Auto
4/25/2014,Cordoba,Veh. Accid-Auto
6/26/2014,San Javier - Rio Negro,Veh. Accid-Auto
8/2/2014,Buenos Aires,Suicide
2/7/2015,El Chalten -  Santa Cruz,Drowning
4/15/2016,El Calafate,Veh. Accid-Auto
7/8/2016,Buenos Aires,Other Accident
11/18/2018,San Fernando -  Buenos Aires,Other Accident
1/3/2019,Buenos Aires -  Argentina,Suicide
3/26/2019,San Juan -  Argentina,Homicide
5/17/2004,Yerevan -  Armenia,Homicide
4/25/2009,Yerevan -  Armenia,Homicide
10/3/2010,Vayots Zvor Region -  Armenia,Veh. Accid-Auto
8/3/2011,Yerevan -  Armenia,Veh. Accid-Pedestr.
7/17/2012,Yerevan -  Armenia,Other Accident
1/30/2015,Byurakan -  Aragatsotn Province,Suicide
8/1/2015,Tsaghkadzor,Veh. Accid-Other
2/19/2017,Jermuk City,Other Accident
10/31/2017,Kotayk,Veh. Accid-Auto
7/6/2003,Seroe Colorado -  Aruba,Other Accident
7/12/2004,Aruba,Drowning
7/12/2004,Aruba,Drowning
1/26/2005,Oranjestad -  Aruba,Other Accident
2/8/2005,Aruba,Drowning
3/12/2005,Aruba,Drug-Related
6/8/2006,Palm Beach -  Aruba,Veh. Accident-Auto
10/4/2006,San Nicolas -  Aruba,Drowning
7/4/2012,Oranjestad -  Aruba,Drowning
8/6/2012,San Nicolas -  Aruba,Drowning
10/8/2002,Great Keppel Island -  Queensland -  Australia,Drowning
11/5/2002,Line Reef Off Proserpine -  Queensland -  Australia,Drowning
11/12/2002,Sandringham St. -  Sans Souci -  Australia,Veh. Accident-Motorcycle
12/9/2002,Jervis Bay -  New South Wales -  Australia,Drowning - Beach
1/1/2003,Caves Road -  Quindalup -  Western Australia -  Australia,Veh. Accident-Auto
3/21/2003,Bruce Highway -  Behanna Creek -  Queensland -  Australia,Veh. Accident-Auto
5/10/2003,Potts Point -  New South Wales -  Australia,Drug-Related
5/31/2003,Mossman Gorge National Park -  Queensland -  Australia,Drowning
6/12/2003,Twofold Bay -  Eden -  New South Wales -  Australia,Drowning
6/15/2003,Palmwood -  Queensland -  Australia,Drowning
7/17/2003,Hobart -  Tasmania -  Australia,Veh. Accident-Auto
7/25/2003,Sydney -  New South Wales -  Australia,Drug-Related
7/26/2003,Litchfield Park -  Northern Territory -  Australia,Drowning
8/13/2003,Pampoolah Rd Taree -  New South Wales -  Australia,Veh. Accident-Auto
9/27/2003,Oakleigh -  Victoria -  Australia,Suicide
10/12/2003,Pacific Highway -  Jones Island -  Australia,Veh. Accident-Auto
10/17/2003,Southport -  Queensland -  Australia,Veh. Accident-Auto
10/22/2003,Townsville -  Queensland -  Australia,Drowning -Ocean
11/3/2003,Otford Rd -  Otford -  New South Wales -  Australia,Veh. Accident-Auto
11/3/2003,Victoria Rd -  West Ryde -  Australia,Veh. Accident-Auto
11/7/2003,Northam -  Western Australia -  Australia,Veh. Accident-Motorcycle
11/7/2003,Toodyay-bindi Bindi Road Near Balgalling Rd -  Toodyay -  Western Australia -  Australia,Veh. Accident-Motorcycle
12/11/2003,Canberra -  Australian Capital Territory -  Australia,Drug-Related
12/27/2003,West Tamar Highway -  Beaconsfield -  Tasmania -  Australia,Veh. Accident-Auto
1/13/2004,Sydney -  New South Wales -  Australia,Suicide
1/17/2004,Hope Island -  Queensland -  Australia,Suicide
1/20/2004,Burnside -  South Australia -  Australia,Suicide
2/7/2004,Sydney -  New South Wales -  Australia,Suicide
2/14/2004,Lavers Hill -  Victoria -  Australia,Veh. Accident-Motorcycle
3/5/2004,Sydney -  New South Wales -  Australia,Drug-Related
5/8/2004,Surry Hills -  New South Wales -  Australia,Other Accident
6/13/2004,Bonnie Doon -  Victoria -  Australia,Homicide
6/16/2004,Hastings Reef Via Cairns -  Queensland -  Australia,Drowning
6/16/2004,New South Wales -  Australia,Veh. Accident-Motorcycle
6/28/2004,Sunnybank -  Queensland -  Australia,Suicide
9/2/2004,One Tree Hill -  South Australia -  Australia,Veh. Accident-Auto
9/11/2004,Red Rock Beach -  Near Coffs Harbour Nsw -  Australia,Drowning
9/25/2004,Wonga Beach -  Queensland -  Australia,Suicide
11/1/2004,Riddoch Highway -  Coonawarra -  South Australia,Veh. Accident-Auto
11/12/2004,Western Highway -  Near Nhill -  Victoria -  Australia,Veh. Accident-Auto
11/14/2004,Braslins Road -  Black Hills -  Tasmania -  Australia,Other Accident
11/24/2004,Agincourt Reef -  Queensland -  Australia,Drowning
12/1/2004,266 Km East Of Norseman -  Western Australia -  Australia,Veh. Accident
12/3/2004,22 Airport Road -  Glenugie -  New South Wales -  Australia,Drug-Related
12/10/2004,Kensington -  South Australia -  Australia,Suicide
2/15/2005,Glenelg -  South Australia -  Australia,Suicide
3/16/2005,Intersection Stuart Hwy & Hatt Rd. -  Alice Springs -  Northern Territory -  Australia,Veh. Accident-Auto
4/10/2005,Pope Road -  Black River -  Queensland -  Australia,Veh. Accident-Auto
4/12/2005,Tapley's Hill Road -  West Beach -  South Australia -  Australia,Veh. Accident-Auto
6/21/2005,Mitchell Falls Plateau -  Western Australia,Other Accident
6/27/2005,New South Wales -  Australia,Veh. Accident-Auto
6/27/2005,New South Wales -  Australia,Veh. Accident-Auto
6/27/2005,New South Wales -  Australia,Veh. Accident-Auto
7/5/2005,Wollahra -  New South Wales -  Australia,Suicide
9/11/2005,Queensland -  Australia,Suicide
10/30/2005,Camperdown -  New South Wales -  Australia,Other Accident
1/13/2006,Dysart Middlemount Road -  Middlemount -  Queensland -  Australia,Veh. Accident-Auto
2/20/2006,Saxon Reef -  Off The Coast Of Cairns -  Queensland -  Australia,Maritime Accident
3/3/2006,Lorne Beach -  Lorne -  Victoria -  Australia,Drowning-Beach
7/2/2006,Cloverdale -  Perth -  Western Australia,Suicide
8/8/2006,Yallingup -  Western Australia,Drowning
9/19/2006,Marsden -  New South Wales -  Australia,Suicide
9/29/2006,Sturt Street -  Townsville -  Queensland -  Australia,Veh. Accident-Auto
10/23/2006,Mooroolbark -  Victoria -  Australia,Other Accident
2/9/2007,ferntree Gully -  Victoria -  Australia,Homicide
2/18/2007,Sassafrass -  Victoria -  Australia,Suicide
2/18/2007,Springbrook Road -  Queensland -  Australia,Veh. Accident-Motorcycle
2/19/2007,Clade Batten Drive -  Noosa Heads Queensland -  Australia,Veh. Accident-Motorcycle
3/1/2007,Hillcrest -  Queensland -  Australia,Suicide
9/1/2007,Sydney -  Australia,Suicide
