Date,City,Country,Cause of Death
1/14/2015,Afghanistan/Pakistan Border,Afghanistan,Hostage-related 
1/29/2015,Kabul,Afghanistan,Terrorist Action
1/29/2015,Kabul,Afghanistan,Terrorist Action
1/29/2015,Kabul,Afghanistan,Terrorist Action
5/13/2015,Kabul,Afghanistan,Terrorist Action
8/22/2015,Kabul,Afghanistan,Terrorist Action
8/22/2015,Kabul,Afghanistan,Terrorist Action
8/22/2015,Kabul,Afghanistan,Terrorist Action
12/21/2015,Kabul,Afghanistan,Terrorist Action
6/5/2016,Helmand Province,Afghanistan,Terrorist Action
1/21/2018,Kabul City -  Kabul,Afghanistan,Terrorist Action
1/21/2018,Kabul City -  Kabul,Afghanistan,Terrorist Action
1/21/2018,Kabul City -  Kabul,Afghanistan,Terrorist Action
1/21/2018,Kabul City -  Kabul,Afghanistan,Terrorist Action
1/14/2019,Kabul City -  Afghanistan,Afghanistan,Terrorist Action
6/19/2019,Shindand -  Afghanistan,Afghanistan,Terrorist Action
6/22/2010,Albania,Albania,Veh. Accid-Auto
6/22/2010,Albania,Albania,Veh. Accid-Auto
12/17/2011,Tepelene -  Albania,Albania,Veh. Accid-Auto
11/20/2014,Tirana,Albania,Veh. Accid-Auto
1/1/2005,Hassi Messaoud -  Ouargla -  Algeria,Algeria,Suicide
1/18/2013,Amenas -  Illizi,Algeria,Terrorist Action
1/20/2013,Amenas -  Illizi,Algeria,Terrorist Action
1/20/2013,Amenas -  Illizi,Algeria,Terrorist Action
12/20/2005,Cabinda -  Angola,Angola,Suicide
1/12/2007,Alvalade Clinic -  Luanda -  Luanda,Angola,Homicide
12/12/2011,Luanda -  Angola,Angola,Drowning
3/25/2017,Luanda,Angola,Veh. Accid-Auto
3/25/2018,Luanda -  Luanda,Angola,Drowning
7/7/2016,Shoal Bay,Anguilla,Drowning
8/9/2016,Shoal Bay,Anguilla,Drowning
7/10/2017,At Sea,Anguilla,Drowning
7/21/2017,Shoal Bay West -  Shoal Bay,Anguilla,Drowning
10/22/2016,White Island Shear Zone -  Antarctica,Antarctica,Other Accident
12/12/2018,McMurdo -  Ross Island,Antarctica,Other Accident
12/12/2018,McMurdo -  Ross Island,Antarctica,Other Accident
4/19/2006,Codrington -  Barbuda,Antigua & Barbuda,Other Accident
8/3/2016,Dickenson Bay -  St. John,Antigua & Barbuda,Drowning
9/6/2016,Valley Church -  St. Mary,Antigua & Barbuda,Drowning
