,Date,City,Country,Cause of Death,Year,Month
138,1/21/2018,Kabul City -  Kabul,Afghanistan,terrorist action,2018,1
139,1/21/2018,Kabul City -  Kabul,Afghanistan,terrorist action,2018,1
140,1/14/2019,Kabul City -  Afghanistan,Afghanistan,terrorist action,2019,1
141,6/19/2019,Shindand -  Afghanistan,Afghanistan,terrorist action,2019,6
142,6/22/2010,Albania,Albania,vehicle accident,2010,6
143,6/22/2010,Albania,Albania,vehicle accident,2010,6
144,12/17/2011,Tepelene -  Albania,Albania,vehicle accident,2011,12
145,11/20/2014,Tirana,Albania,vehicle accident,2014,11
146,1/1/2005,Hassi Messaoud -  Ouargla -  Algeria,Algeria,suicide,2005,1
147,1/18/2013,Amenas -  Illizi,Algeria,terrorist action,2013,1
148,1/20/2013,Amenas -  Illizi,Algeria,terrorist action,2013,1
149,1/20/2013,Amenas -  Illizi,Algeria,terrorist action,2013,1
150,12/20/2005,Cabinda -  Angola,Angola,suicide,2005,12
151,1/12/2007,Alvalade Clinic -  Luanda -  Luanda,Angola,homicide,2007,1
152,12/12/2011,Luanda -  Angola,Angola,drowning,2011,12
153,3/25/2017,Luanda,Angola,vehicle accident,2017,3
154,3/25/2018,Luanda -  Luanda,Angola,drowning,2018,3
155,7/7/2016,Shoal Bay,Anguilla,drowning,2016,7
156,8/9/2016,Shoal Bay,Anguilla,drowning,2016,8
157,7/10/2017,At Sea,Anguilla,drowning,2017,7
158,7/21/2017,Shoal Bay West -  Shoal Bay,Anguilla,drowning,2017,7
159,10/22/2016,White Island Shear Zone -  Antarctica,Antarctica,other accident,2016,10
160,12/12/2018,McMurdo -  Ross Island,Antarctica,other accident,2018,12
161,12/12/2018,McMurdo -  Ross Island,Antarctica,other accident,2018,12
162,4/19/2006,Codrington -  Barbuda,Antigua & Barbuda,other accident,2006,4
163,8/3/2016,Dickenson Bay -  St. John,Antigua & Barbuda,drowning,2016,8
164,9/6/2016,Valley Church -  St. Mary,Antigua & Barbuda,drowning,2016,9
165,9/18/2016,Dickenson Bay -  St. John,Antigua & Barbuda,drowning,2016,9
166,12/19/2016,Five Islands -  St. John,Antigua & Barbuda,drowning,2016,12
167,3/4/2003,Rio Chimehuin -  Junin De Los Andes -  Argentina,Argentina,drowning,2003,3
168,3/9/2003,Gualeguaychu -  Entre Rios -  Argentina,Argentina,other accident,2003,3
169,6/3/2003,Vicente Lopez -  Buenos Aires -  Argentina,Argentina,homicide,2003,6
170,8/27/2003,Buenos Aires -  Argentina,Argentina,vehicle accident,2003,8
171,2/4/2004,Km 577 -  La Cautiva -  Rio 4 -  Prov. Cordoba -  Argentina,Argentina,other accident,2004,2
172,9/14/2004,Valle De Las Lenas -  Mendoza -  Argentina,Argentina,other accident,2004,9
173,7/23/2005,Ruta Prov. 16 -  Villa Tulumba -  Cordoba -  Argentina,Argentina,vehicle accident,2005,7
174,10/17/2005,Cerro Mercedario -  San Juan -  Argentina,Argentina,other accident,2005,10
175,12/2/2005,Rosario -  Santa Fe -  Argentina,Argentina,train accident,2005,12
176,1/22/2006,At Sea -  Near Ushuaia -  Tierra Del Fuego -  Argentina,Argentina,other accident,2006,1
177,3/6/2006,Tunuyan -  Mendoza -  Argentina,Argentina,vehicle accident,2006,3
178,4/23/2006,San Luis -  Argentina,Argentina,vehicle accident,2006,4
179,1/9/2007,Route 7 Km 1101 -  Lujan De Cuyo - mendoza -  Argentina,Argentina,drowning,2007,1
180,4/6/2007,Buenos Aires -  Argentina,Argentina,other accident,2007,4
181,10/10/2007,Provincial Route 6 -  Hernando -  Cordoba -  Argentina,Argentina,vehicle accident,2007,10
182,10/12/2007,Buenos Aires -  Argentina,Argentina,other accident,2007,10
183,12/3/2007,Buenos Aires -  Argentina,Argentina,suicide,2007,12
184,6/21/2008,Sanmartin And Catamarca -  Salta -  Argentina,Argentina,vehicle accident,2008,6
185,7/16/2008,Rodriguez -  Argentina,Argentina,drowning,2008,7
186,1/2/2009,Buenos Aires -  Argentina,Argentina,suicide,2009,1
187,1/25/2009,Rio Grande -  Tierra Del Fuego -  Argentina,Argentina,vehicle accident,2009,1
188,1/25/2009,Rio Grande -  Tierra Del Fuego -  Argentina,Argentina,vehicle accident,2009,1
189,3/8/2009,San Carlos De Bariloche -  Rio Negro -  Argentina,Argentina,other accident,2009,3
190,3/8/2009,San Carlos De Bariloche -  Rio Negro -  Argentina,Argentina,other accident,2009,3
191,4/13/2009,Cordoba -  Argentina,Argentina,suicide,2009,4
192,10/16/2009,Buenos Aires -  Argentina,Argentina,suicide,2009,10
193,1/31/2010,Buenos Aires -  Argentina,Argentina,suicide,2010,1
194,2/9/2010,Tupungato - Mendoza -  Argentina,Argentina,vehicle accident,2010,2
195,7/9/2010,Cordoba -  Argentina,Argentina,drowning,2010,7
196,12/27/2010,Buenos Aires -  Argentina,Argentina,drowning,2010,12
197,3/21/2011,Puerto Iguazu -  Misiones -  Argentina,Argentina,drowning,2011,3
198,3/21/2011,Puerto Iguazu -  Misiones -  Argentina,Argentina,drowning,2011,3
199,2/18/2012,Salta -  Argentina,Argentina,suicide,2012,2
200,8/18/2012,Rosario -  Santa Fe -  Argentina,Argentina,suicide,2012,8
201,3/14/2013,CABA (Ciudad Autonoma de Buenos Aires) -  Argentina,Argentina,suicide,2013,3
202,12/2/2013,Buenos Aires -  Argentina,Argentina,suicide,2013,12
203,12/19/2013,Neuquen -  Argentina,Argentina,other accident,2013,12
204,2/7/2014,Mendoza,Argentina,other accident,2014,2
205,3/30/2014,Buenos Aires,Argentina,vehicle accident,2014,3
206,4/25/2014,Cordoba,Argentina,vehicle accident,2014,4
207,6/26/2014,San Javier - Rio Negro,Argentina,vehicle accident,2014,6
208,8/2/2014,Buenos Aires,Argentina,suicide,2014,8
209,2/7/2015,El Chalten -  Santa Cruz,Argentina,drowning,2015,2
